Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0.0,Wed Nov 29 13:35:20 +0000 2017,0.0,1.0,0.0,@CBSNews,"This morning, Attorney General Jeff Sessions will announce new government tools for the opioid epidemic:… https://t.co/qgwvQEATxD",11
0.0,Wed Nov 29 13:34:46 +0000 2017,0.0,1.0,0.0,@CBSNews,Here’s a look at some of this morning’s other headlines on @CBSThisMorning: https://t.co/GHI3CRmCHM,12
0.0,Wed Nov 29 13:33:39 +0000 2017,0.0,1.0,0.0,@CBSNews,Instagram is out this morning with some self-reflection for 2017. It's year in review includes the most followed ce… https://t.co/7uu88fOAIe,13
-0.5994,Wed Nov 29 13:20:01 +0000 2017,0.178,0.822,0.0,@CBSNews,"President Trump took to Twitter early Wednesday morning, retweeting violent images and videos that appeared to be a… https://t.co/PCghpGN1oM",14
0.5267,Wed Nov 29 13:19:57 +0000 2017,0.0,0.825,0.175,@CBSNews,The Justice Department reportedly is investigating whether Uber stole trade secrets from its competitors. The alleg… https://t.co/t5A86ETlzG,15
0.6077,Wed Nov 29 13:13:09 +0000 2017,0.0,0.82,0.18,@CBSNews,"Is Uber riding on more than its success? Coming up on @CBSThisMorning, @nxthompson joins to discuss explosive claim… https://t.co/OAIKbrLQj5",16
0.4404,Wed Nov 29 13:10:49 +0000 2017,0.0,0.803,0.197,@CBSNews,"“Yes, I am on board with this bill. Because I want to see the good economic growth that is coming with it, but also… https://t.co/mz0uR7Affv",17
0.5719,Wed Nov 29 13:07:59 +0000 2017,0.0,0.837,0.163,@CBSNews,The Republican tax plan is one step closer to success today. The sweeping overhaul passed the Senate Budget Committ… https://t.co/Ht3SIrtccM,18
0.34,Wed Nov 29 13:06:51 +0000 2017,0.0,0.882,0.118,@CBSNews,The UN Security Council meets today to discuss North Korea’s latest missile launch. North Korean state media releas… https://t.co/ry3zIxS2zt,19
-0.5574,Wed Nov 29 13:04:07 +0000 2017,0.175,0.825,0.0,@CBSNews,NBC News has fired long-time TODAY Show host Matt Lauer over inappropriate sexual behavior in the workplace.… https://t.co/SRA9dlQLO6,20
0.3818,Wed Nov 29 15:23:42 +0000 2017,0.0,0.89,0.11,@CBSNews,"""Right now, we're focused on making this place works the right way,"" Speaker Ryan says when asked about women who h… https://t.co/IYnhdYwtzM",21
0.0,Wed Nov 29 15:21:11 +0000 2017,0.0,1.0,0.0,@CBSNews,WATCH LIVE: House Speaker Paul Ryan and GOP leaders hold a news conference ahead of the Senate's vote on the GOP ta… https://t.co/zBNXbr0ZAY,22
